IDpaper,Title_paper,type_paper,Abstract_paper,IDauthor,Author,IDconference,type_conference,Name,Edition,City,Year_edition,Chairs,IDedition,IDjournal,title,volume,Year_volume,editor,IDreviewer,Reviewer,IDreview,Decision,Review,IDkeyword,Keyword,IDtopic,Topic,Name_chair,expert_id_chair,name_editor
paper_1,An Evaluation of Object-Oriented DBMS Developments: 1994 Edition.,poster,It has revolutionized biomedical research and,author_8970880,Michael Schwarz,conference_6859291.0,workshops,Atlas Convention,Optimizing Multi-hop Queries in ZigBee Based Multi-sink Sensor Networks.,Tianjin,2016.0,chairs_1,edition_E_2016,,,,,,reviewer_8970891,Sandra Heiler,review_11,accepted,Dolor magnam quiquia dolorem voluptatem quiquia aliquam.,keyword_102,Geoscience,topic_3,Economy,Burkhard Kehrbusch,expert_1,
paper_1,An Evaluation of Object-Oriented DBMS Developments: 1994 Edition.,poster,It has revolutionized biomedical research and,author_8970880,Michael Schwarz,conference_6859291.0,workshops,Atlas Convention,Optimizing Multi-hop Queries in ZigBee Based Multi-sink Sensor Networks.,Tianjin,2016.0,chairs_2,edition_E_2016,,,,,,reviewer_8970891,Sandra Heiler,review_11,accepted,Dolor magnam quiquia dolorem voluptatem quiquia aliquam.,keyword_112,Bioengineering,topic_0,Mathematics,Daniel Genkin,expert_2,
paper_1,An Evaluation of Object-Oriented DBMS Developments: 1994 Edition.,poster,It has revolutionized biomedical research and,author_8970880,Michael Schwarz,conference_6859291.0,workshops,Atlas Convention,Optimizing Multi-hop Queries in ZigBee Based Multi-sink Sensor Networks.,Tianjin,2016.0,chairs_1,edition_E_2016,,,,,,reviewer_8970901,Thomas Ludwig,review_10,accepted,Dolor voluptatem quiquia aliquam.,keyword_102,Geoscience,topic_3,Economy,Burkhard Kehrbusch,expert_1,
paper_1,An Evaluation of Object-Oriented DBMS Developments: 1994 Edition.,poster,It has revolutionized biomedical research and,author_8970880,Michael Schwarz,conference_6859291.0,workshops,Atlas Convention,Optimizing Multi-hop Queries in ZigBee Based Multi-sink Sensor Networks.,Tianjin,2016.0,chairs_2,edition_E_2016,,,,,,reviewer_8970901,Thomas Ludwig,review_10,accepted,Dolor voluptatem quiquia aliquam.,keyword_112,Bioengineering,topic_0,Mathematics,Daniel Genkin,expert_2,
paper_1,An Evaluation of Object-Oriented DBMS Developments: 1994 Edition.,poster,It has revolutionized biomedical research and,author_8970880,Michael Schwarz,conference_6859291.0,workshops,Atlas Convention,Optimizing Multi-hop Queries in ZigBee Based Multi-sink Sensor Networks.,Tianjin,2016.0,chairs_1,edition_E_2016,,,,,,reviewer_8970890,Carlos Ludo,review_21,accepted,Dolor dolorem ut ipsum dolore labore dolorem dolore tempora.,keyword_102,Geoscience,topic_3,Economy,Burkhard Kehrbusch,expert_1,
paper_1,An Evaluation of Object-Oriented DBMS Developments: 1994 Edition.,poster,It has revolutionized biomedical research and,author_8970880,Michael Schwarz,conference_6859291.0,workshops,Atlas Convention,Optimizing Multi-hop Queries in ZigBee Based Multi-sink Sensor Networks.,Tianjin,2016.0,chairs_2,edition_E_2016,,,,,,reviewer_8970890,Carlos Ludo,review_21,accepted,Dolor dolorem ut ipsum dolore labore dolorem dolore tempora.,keyword_112,Bioengineering,topic_0,Mathematics,Daniel Genkin,expert_2,
paper_2,DARWIN: On the Incremental Migration of Legacy Information Systems,short paper,Queuing models provide insight into the temporal inhomogeneity of human dynamics,author_8970881,Yuval Yarom,conference_6859292.0,workshops,Atlas Convention,Graph clustering based topic modeling using feature learning approach.,Delhi,2017.0,chairs_3,edition_E_2017,,,,,,reviewer_8970892,Benjamin Hurwitz,review_12,accepted,Labore dolorem quisquam sed eius eius dolore consectetur.,keyword_103,Engineered Materials,topic_3,Economy,Moritz Lipp,expert_3,
paper_2,DARWIN: On the Incremental Migration of Legacy Information Systems,short paper,Queuing models provide insight into the temporal inhomogeneity of human dynamics,author_8970881,Yuval Yarom,conference_6859292.0,workshops,Atlas Convention,Graph clustering based topic modeling using feature learning approach.,Delhi,2017.0,chairs_4,edition_E_2017,,,,,,reviewer_8970892,Benjamin Hurwitz,review_12,accepted,Labore dolorem quisquam sed eius eius dolore consectetur.,keyword_113,Robotics and Control Systems,topic_2,Physics,Stefan JSchierholz,expert_4,
paper_2,DARWIN: On the Incremental Migration of Legacy Information Systems,short paper,Queuing models provide insight into the temporal inhomogeneity of human dynamics,author_8970881,Yuval Yarom,conference_6859292.0,workshops,Atlas Convention,Graph clustering based topic modeling using feature learning approach.,Delhi,2017.0,chairs_3,edition_E_2017,,,,,,reviewer_8970889,John Ben,review_8,accepted,Numquam non consectetur sit labore etincidunt.,keyword_103,Engineered Materials,topic_3,Economy,Moritz Lipp,expert_3,
paper_2,DARWIN: On the Incremental Migration of Legacy Information Systems,short paper,Queuing models provide insight into the temporal inhomogeneity of human dynamics,author_8970881,Yuval Yarom,conference_6859292.0,workshops,Atlas Convention,Graph clustering based topic modeling using feature learning approach.,Delhi,2017.0,chairs_4,edition_E_2017,,,,,,reviewer_8970889,John Ben,review_8,accepted,Numquam non consectetur sit labore etincidunt.,keyword_113,Robotics and Control Systems,topic_2,Physics,Stefan JSchierholz,expert_4,
